65,56,11
11,91,28
71,87,81
86,62,18
68,20,46
49,57,17
68,21,89
100,83,62
85,38,94
62,69,50
75,31,36
25,50,84
32,50,81
28,10,57
77,86,87
58,67,72
77,35,67
9,31,60
25,57,50
9,97,74
47,7,61
49,68,35
25,18,42
53,67,90
96,51,75
64,24,68
32,79,72
69,11,98
2,67,24
54,15,43
20,47,82
30,0,22
80,45,47
91,57,93
76,16,81
16,47,54
36,74,88
61,24,79
21,84,44
85,73,31
59,88,36
44,13,3
17,31,72
88,11,72
22,38,88
64,14,29
8,7,4
99,61,72
33,68,38
17,44,98
75,4,7
77,77,12
52,97,87
70,11,92
21,21,50
76,13,31
60,54,29
23,33,82
67,77,87
18,88,27
44,11,66
37,18,36
99,42,54
39,73,87
68,93,1
62,48,71
100,98,33
82,20,6
7,89,15
53,84,24
20,76,41
34,10,9
4,23,75
41,34,39
52,27,50
26,89,50
83,68,43
39,10,17
3,11,28
47,64,37
46,92,51
66,2,38
67,22,56
10,55,23
71,37,49
7,39,25
72,63,68
54,42,40
17,85,0
89,19,76
92,14,42
55,62,93
91,17,63
6,97,27
39,90,86
98,79,10
81,38,93
35,69,74
30,19,91
70,56,72
71,85,35
31,69,17
27,99,62
71,97,6
33,95,41
80,22,32
89,59,41
61,92,47
23,10,50
93,84,67
99,98,93
50,18,57
93,87,66
75,92,37
53,59,87
50,93,3
53,64,16
18,57,49
31,57,12
7,66,16
63,81,71
39,1,55
98,53,24
40,84,47
21,82,95
31,23,8
54,8,84
30,98,86
89,28,4
43,59,0
33,67,35
71,15,4
13,76,3
13,7,73
45,4,11
21,76,24
17,69,6
59,13,48
16,11,35
75,100,56
36,50,76
86,20,17
97,1,45
52,100,34
12,72,64
40,8,96
52,38,47
6,94,13
35,67,22
18,69,68
46,98,42
71,43,19
4,47,40
41,43,28
1,63,35
33,32,77
40,67,68
22,29,53
66,28,46
66,59,68
33,82,16
58,69,73
78,42,75
75,24,96
23,11,52
49,49,60
56,61,88
40,68,21
99,58,37
14,22,62
72,77,36
74,18,59
45,21,29
19,65,16
69,13,17
24,70,58
0,15,46
70,80,38
0,48,87
8,72,29
23,90,42
31,47,66
29,51,49
22,5,49
97,68,96
67,17,16
95,19,34
83,0,97
16,33,67
41,88,35
35,2,16
30,16,7
35,26,50
88,48,74
61,40,92
37,76,53
21,79,73
32,7,64
81,59,26
59,55,7
